cost,publisher,university,year
0.0,Institute of Physics Publishing,Royal College of Art,2014
,Institute of Physics Publishing,Royal College of Music,2014
0.0,Institute of Physics Publishing,Royal Conservatoire of Scotland,2014
28341.0,Institute of Physics Publishing,"Royal Holloway, University of London",2014
0.0,Institute of Physics Publishing,Royal Northern College of Music,2014
0.0,Institute of Physics Publishing,Royal Veterinary College,2014
16403.0,Institute of Physics Publishing,University of Salford,2014
0.0,Institute of Physics Publishing,School of Oriental and African Studies,2014
27493.0,Institute of Physics Publishing,University of Sheffield,2014
5358.0,Institute of Physics Publishing,Sheffield Hallam University,2014
0.0,Institute of Physics Publishing,University of South Wales,2014
,Institute of Physics Publishing,University of Southampton,2014
0.0,Institute of Physics Publishing,Southampton Solent University,2014
0.0,Institute of Physics Publishing,Staffordshire University,2014
0.0,Institute of Physics Publishing,Stranmillis Universiity College,2014
19830.0,Institute of Physics Publishing,University of St Andrews,2014
,Institute of Physics Publishing,St George's University of London,2014
